id,type,description,category,controlledProperty,supportedProtocol,humidity,heartRate,location_type,lng,lat,status,batteryLevel,deviceState,controlledAsset,deviceModel
urn:ngsi-ld:Device:pig023,Device,Lemonade's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,62,Point,13.35042,52.51828,WALLOWING,0.8,OK,urn:ngsi-ld:Animal:pig023,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig022,Device,Taffy's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,61,Point,13.35033,52.51891,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig022,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig024,Device,Lips's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,60,Point,13.35014,52.51885,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig024,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig028,Device,Jellybean's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,61,Point,13.35016,52.51818,DRINKING,0.8,OK,urn:ngsi-ld:Animal:pig028,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig029,Device,Sherbert's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,60,Point,13.35057,52.51814,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig029,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig027,Device,Sprinkles's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,64,Point,13.35082,52.51824,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig027,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig025,Device,Flower's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,61,Point,13.35075,52.51806,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig025,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig026,Device,Bud's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,63,Point,13.35053,52.51897,DRINKING,0.6,OK,urn:ngsi-ld:Animal:pig026,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig030,Device,Tutu's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,64,Point,13.35038,52.51841,AT REST,0.6,OK,urn:ngsi-ld:Animal:pig030,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig033,Device,Hulk's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,65,Point,13.35095,52.51899,FORAGING,0.6,OK,urn:ngsi-ld:Animal:pig033,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig032,Device,Goliath's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,60,Point,13.35098,52.51847,FORAGING,-1,NOT OK,urn:ngsi-ld:Animal:pig032,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig038,Device,Clifford's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,60,Point,13.35076,52.51863,FORAGING,0.6,OK,urn:ngsi-ld:Animal:pig038,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig037,Device,Colossus's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,61,Point,13.35042,52.5188,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig037,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig036,Device,Bruce's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,64,Point,13.35072,52.51852,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig036,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig031,Device,Mammoth's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,63,Point,13.3502,52.51893,FORAGING,0.8,OK,urn:ngsi-ld:Animal:pig031,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig035,Device,Giant's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,62,Point,13.35099,52.51891,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig035,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig034,Device,Thor's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,62,Point,13.35036,52.51813,WALLOWING,0.8,OK,urn:ngsi-ld:Animal:pig034,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig039,Device,Terminator's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,64,Point,13.35036,52.51883,AT REST,0.8,OK,urn:ngsi-ld:Animal:pig039,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:pig040,Device,Reptar's Animal Collar,sensor,"[""heartRate"",""location"",""status""]",json,,64,Point,13.35032,52.51888,AT REST,0.6,OK,urn:ngsi-ld:Animal:pig040,urn:ngsi-ld:DeviceModel:Collar
urn:ngsi-ld:Device:tractor001,Tractor,Big Blue Tractor,"[ ""actuator"", ""sensor"" ]","[""location"",""status""]",json,,,Point,13.345,52.51806,MOVING,0.8,OK,,urn:ngsi-ld:DeviceModel:Tractor
urn:ngsi-ld:Device:tractor002,Tractor,Little Red Tractor,"[ ""actuator"", ""sensor"" ]","[""location"",""status""]",json,,,Point,13.3505,52.5144,IDLE,0.8,OK,,urn:ngsi-ld:DeviceModel:Tractor
urn:ngsi-ld:Device:tractor003,Tractor,Large Green Tractor,"[ ""actuator"", ""sensor"" ]","[""location"",""status""]",json,,,Point,13.3505,52.5144,IDLE,0.8,OK,,urn:ngsi-ld:DeviceModel:Tractor
urn:ngsi-ld:Device:tractor004,Tractor,Fast Black Tractor,"[ ""actuator"", ""sensor"" ]","[""location"",""status""]",json,,,Point,13.34,52.5188,SOWING,0.8,OK,,urn:ngsi-ld:DeviceModel:Tractor
urn:ngsi-ld:SoilSensor:humidity001,SoilSensor,Wheatfield Soil Sensor,sensor,"""humidity""",json,0.5,,,,,,0.7,OK,urn:ngsi-ld:AgriParcel:001,urn:ngsi-ld:DeviceModel:SoilSensor
urn:ngsi-ld:SoilSensor:humidity002,SoilSensor,Cornfield Soil Sensor,sensor,"""humidity""",json,0.6,,,,,,0.7,OK,urn:ngsi-ld:AgriParcel:002,urn:ngsi-ld:DeviceModel:SoilSensor
urn:ngsi-ld:SoilSensor:humidity003,SoilSensor,Water Meadow Soil Sensor,sensor,"""humidity""",json,0.7,,,,,,0.7,OK,urn:ngsi-ld:AgriParcel:005,urn:ngsi-ld:DeviceModel:SoilSensor
urn:ngsi-ld:SoilSensor:humidity004,SoilSensor,Paddock Soil Sensor,sensor,"""humidity""",json,0.6,,,,,,0.6,OK,urn:ngsi-ld:AgriParcel:006,urn:ngsi-ld:DeviceModel:SoilSensor
urn:ngsi-ld:SoilSensor:humidity005,SoilSensor,North Pasture Soil Sensor,sensor,"""humidity""",json,0.6,,,,,,0.4,OK,urn:ngsi-ld:AgriParcel:003,urn:ngsi-ld:DeviceModel:SoilSensor
urn:ngsi-ld:SoilSensor:humidity006,SoilSensor,East Pasture Soil Sensor,sensor,"""humidity""",json,0.6,,,,,,0.7,OK,urn:ngsi-ld:AgriParcel:004,urn:ngsi-ld:DeviceModel:SoilSensor
urn:ngsi-ld:Water:water001,Water,Wheatfield Water Sprinkler,actuator,,json,,,,,,,0.7,OK,urn:ngsi-ld:AgriParcel:001,urn:ngsi-ld:DeviceModel:WaterSprinkler
urn:ngsi-ld:Water:water002,Water,Cornfield Soil Water Sprinkler,actuator,,json,,,,,,,0.7,OK,urn:ngsi-ld:AgriParcel:002,urn:ngsi-ld:DeviceModel:WaterSprinkler
